x,y,z
-0.055786,-0.097412,0.99585
0.097168,-0.053955,1.0356
0.085327,0.052124,1.0035
-0.056274,0.083374,0.95837
-0.13965,-0.0030518,0.95642
-0.032227,-0.10181,0.99951
0.10803,-0.036865,1.0344
0.073242,0.058838,0.9928
-0.077881,0.075073,0.95801
-0.13293,-0.014893,0.95691
-0.011597,-0.10352,1.0029
0.11047,-0.025024,1.0344
0.056396,0.065796,0.98962
-0.091919,0.067383,0.9574
-0.12451,-0.025146,0.96558
0.012695,-0.10083,1.0142
0.11426,-0.011108,1.0231
0.039551,0.06897,0.98328
-0.1106,0.058838,0.95386
-0.1156,-0.044922,0.96851
0.031738,-0.095703,1.0193
0.11108,0.0024414,1.0249
0.020264,0.077515,0.9707
-0.12451,0.049194,0.95947
-0.099609,-0.063232,0.97498
0.056396,-0.087402,1.0265
0.11084,0.022339,1.02
-0.00085449,0.085083,0.96814
-0.13062,0.034424,0.94934
-0.08667,-0.080811,0.98047
0.074463,-0.078735,1.0305
0.10278,0.036987,1.0118
-0.02002,0.085205,0.96655
-0.13586,0.023315,0.95178
-0.066772,-0.091675,0.98779
-0.04187,0.099609,0.96985
-0.15222,0.048706,0.95251
-0.0625,-0.089478,0.98303
0.11511,-0.09082,1.032
0.10156,0.032227,1.0056
-0.068237,0.104,0.95813
-0.15271,0.021973,0.9574
-0.040771,-0.10352,0.9917
0.12781,-0.075562,1.0339
0.081543,0.050049,1.0004
-0.091797,0.104,0.95544
-0.14429,0.0015869,0.95264
-0.015503,-0.11682,1.004
0.13586,-0.053223,1.0366
0.063599,0.063843,0.98999
-0.10986,0.10034,0.94861
-0.13574,-0.015869,0.95911
0.014526,-0.12146,1.0034
0.13977,-0.030762,1.0353
0.040405,0.075562,0.9906
-0.12805,0.095093,0.94446
-0.1217,-0.033813,0.96252
0.038696,-0.1228,1.0166
0.13745,-0.013672,1.0297
0.016968,0.087891,0.98413
-0.14062,0.085205,0.95264
-0.10596,-0.050659,0.96265
0.069824,-0.11658,1.0183
0.12903,-0.00012207,1.0272
-0.011353,0.095581,0.97632
-0.14709,0.066162,0.94336
-0.088257,-0.067505,0.97852
0.089966,-0.10718,1.0251
0.11536,0.018066,1.0145
-0.038086,0.09729,0.96912
-0.15076,0.045532,0.94983
-0.064087,-0.090576,0.98071
0.11243,-0.089111,1.0287
0.10071,0.033447,1.0051
-0.064209,0.10205,0.95898
-0.14941,0.022095,0.9519
-0.041016,-0.10156,0.9917
0.12891,-0.073975,1.0314
0.085449,0.048706,0.99988
-0.091187,0.10559,0.96118
-0.14478,0.0047607,0.95239
-0.013672,-0.1145,0.99744
0.13684,-0.057617,1.0381
0.06665,0.063477,0.99341
-0.10999,0.10339,0.95068
-0.13623,-0.014526,0.96021
0.0096436,-0.12598,1.0052
0.14062,-0.037231,1.033
0.043457,0.07605,0.99194
-0.12695,0.097534,0.94556
-0.12415,-0.034058,0.96045
0.037842,-0.12256,1.0104
0.13672,-0.017578,1.031
0.019897,0.083252,0.97632
-0.13757,0.084473,0.94934
-0.10754,-0.050537,0.96533
0.066162,-0.11279,1.019
0.13037,0.00073242,1.0288
-0.0081787,0.092041,0.97668
-0.146,0.064087,0.94434
-0.089478,-0.061646,0.97339
0.089111,-0.10706,1.0264
0.11731,0.016479,1.015
-0.032837,0.098145,0.96838
-0.14966,0.050293,0.94946
-0.066895,-0.086426,0.98035
0.11157,-0.091064,1.028
0.10291,0.031982,1.0139
-0.06311,0.10547,0.96057
-0.14954,0.027222,0.953
-0.043213,-0.10327,0.98853
0.1261,-0.078613,1.0326
0.086182,0.046997,1.0006
-0.087891,0.10742,0.96179
-0.14551,0.005127,0.95325
-0.019653,-0.11609,0.99365
0.13745,-0.061157,1.0344
0.06665,0.061157,0.99646
-0.11011,0.10083,0.94897
-0.13892,-0.012573,0.95874
0.0072021,-0.1217,1.0054
0.14026,-0.039062,1.0293
0.046509,0.071045,0.98853
-0.12488,0.094727,0.95081
-0.12439,-0.028442,0.96472
0.035034,-0.11938,1.0077
0.13818,-0.019897,1.0345
0.02356,0.080566,0.97949
-0.13647,0.08606,0.94653
-0.11011,-0.050537,0.97107
0.062134,-0.1145,1.0195
0.13025,0.0,1.0264
-0.006958,0.09375,0.97534
-0.14771,0.067261,0.94299
-0.090576,-0.063477,0.96924
0.087158,-0.10864,1.028
0.11816,0.019287,1.0167
-0.030396,0.098755,0.96887
-0.14941,0.050659,0.94739
-0.070557,-0.085693,0.98157
0.10962,-0.093994,1.0281
0.10522,0.033569,1.0131
-0.060791,0.10449,0.96265
-0.1499,0.030029,0.95093
-0.046875,-0.099609,0.98352
0.12268,-0.080811,1.0312
0.087646,0.041748,1.0039
-0.084595,0.10706,0.95825
-0.14624,0.0097656,0.95251
-0.021362,-0.11597,0.99243
0.13721,-0.063965,1.0361
0.069214,0.057861,0.99573
-0.10632,0.10425,0.95618
-0.13708,-0.0074463,0.95422
0.0045166,-0.12292,1.0024
0.14087,-0.039917,1.0325
0.047119,0.073242,0.9928
-0.12549,0.096191,0.95117
-0.12634,-0.028442,0.96619
0.034424,-0.12292,1.0071
0.13953,-0.017822,1.0309
0.023315,0.080811,0.97742
-0.13623,0.086304,0.9469
-0.1106,-0.047852,0.96643
0.059448,-0.11499,1.0165
0.13293,-0.0026855,1.0227
-0.0032959,0.092041,0.97351
-0.14575,0.069214,0.94714
-0.092651,-0.060791,0.96997
0.085693,-0.10889,1.0306
0.11938,0.013916,1.0161
-0.028931,0.098145,0.9679
-0.14795,0.052856,0.94653
-0.072388,-0.083008,0.98401
0.10657,-0.095947,1.0292
0.10681,0.030151,1.0133
-0.059082,0.10352,0.96191
-0.15149,0.032349,0.9447
-0.046387,-0.10181,0.98743
0.12329,-0.081665,1.0367
0.088013,0.045166,1.005
-0.081543,0.10791,0.95837
-0.14563,0.0091553,0.95117
-0.023193,-0.11377,0.99109
0.13708,-0.061157,1.038
0.068604,0.059692,0.99792
-0.10742,0.10486,0.95557
-0.13892,-0.0095215,0.95129
0.0042725,-0.11975,1.0009
0.13867,-0.042603,1.0297
0.047485,0.071045,0.99097
-0.1239,0.096558,0.953
-0.12732,-0.025879,0.96204
0.034424,-0.12463,1.0056
0.13879,-0.019409,1.0283
0.023682,0.078979,0.98328
-0.13696,0.088867,0.94812
-0.11169,-0.046387,0.96753
0.058838,-0.11731,1.0182
0.13257,-0.0043945,1.0269
-0.0019531,0.093872,0.9729
-0.14661,0.069702,0.95251
-0.091553,-0.06543,0.97156
0.087036,-0.10779,1.0288
0.12146,0.015015,1.0157
-0.029541,0.098633,0.96265
-0.14783,0.050293,0.94531
-0.074219,-0.081665,0.98083
0.1073,-0.094849,1.0309
0.10547,0.031738,1.0095
-0.057617,0.10254,0.96497
-0.15259,0.032104,0.94556
-0.048828,-0.098755,0.98877
0.12402,-0.078979,1.0386
0.089722,0.043945,1.0062
-0.083008,0.10461,0.95593
-0.14587,0.011108,0.95312
-0.023926,-0.11462,0.9895
0.13464,-0.062134,1.0375
0.072144,0.058105,0.99866
-0.10632,0.10547,0.953
-0.13831,-0.01001,0.94946
0.0042725,-0.1228,1.0033
0.14099,-0.044189,1.0337
0.047119,0.075562,0.99084
-0.1217,0.098389,0.95142
-0.12549,-0.029907,0.9613
0.033813,-0.12378,1.0065
0.13831,-0.019043,1.0287
0.023071,0.08313,0.98669
-0.13916,0.089111,0.94812
-0.10974,-0.045654,0.97083
0.061279,-0.11475,1.015
0.13208,-0.0031738,1.0225
-0.0039062,0.090088,0.97278
-0.14697,0.070068,0.95044
-0.089844,-0.0625,0.9718
0.0896,-0.10669,1.0236
0.12268,0.01123,1.0148
-0.030884,0.09668,0.96204
-0.15186,0.051025,0.94775
-0.073364,-0.079468,0.98291
0.10815,-0.096069,1.0341
0.1062,0.031738,1.0061
-0.059814,0.10461,0.96265
-0.1521,0.028931,0.94983
-0.046143,-0.10193,0.9884
0.12488,-0.079834,1.0365
0.088135,0.048828,1.0044
-0.084473,0.10645,0.9491
-0.14453,0.0081787,0.95361
-0.022461,-0.11804,0.99695
0.13672,-0.059326,1.0366
0.069458,0.060425,0.99878
-0.1084,0.10596,0.95398
-0.13806,-0.014526,0.95386
0.0068359,-0.12146,1.0016
0.14075,-0.041016,1.04
0.046021,0.075073,0.98804
-0.12354,0.097534,0.95129
-0.12708,-0.026367,0.95898
0.033813,-0.12439,1.0066
0.13733,-0.020508,1.0294
0.021606,0.082886,0.98645
-0.1394,0.087524,0.94531
-0.11035,-0.044556,0.96399
0.062622,-0.11768,1.0138
0.12952,-0.0046387,1.0238
-0.0046387,0.091187,0.97339
-0.14563,0.070801,0.94958
-0.088501,-0.067139,0.97498
0.088257,-0.10437,1.0222
0.11951,0.016968,1.0173
-0.035889,0.098389,0.96777
-0.15027,0.047852,0.95117
-0.070923,-0.084106,0.98401
0.11108,-0.093628,1.0339
0.10474,0.032349,1.0023
-0.061768,0.10461,0.96106
-0.15027,0.0271,0.9491
-0.042847,-0.10254,0.9884
0.13062,-0.078247,1.0321
0.089111,0.050415,1.0046
-0.08728,0.10461,0.95032
-0.14722,0.011597,0.9519
-0.019287,-0.1167,1.0004
0.13586,-0.060303,1.0353
0.068359,0.060059,0.99634
-0.11108,0.10852,0.94995
-0.13794,-0.013916,0.95642
0.0074463,-0.12341,0.99927
0.14185,-0.040771,1.0422
0.045776,0.074463,0.9856
-0.12366,0.097778,0.94568
-0.12463,-0.031128,0.96155
0.036377,-0.12207,1.0092
0.13806,-0.0177,1.0259
0.019775,0.084106,0.98474
-0.13879,0.08252,0.94885
-0.10754,-0.048706,0.96033
0.066284,-0.11438,1.0179
0.12817,0.003418,1.025
-0.0076904,0.09082,0.97351
-0.14819,0.067383,0.94861
-0.08667,-0.067139,0.97717
0.090698,-0.1062,1.0227
0.11694,0.019897,1.0165
-0.039795,0.10107,0.96545
-0.151,0.048584,0.95056
-0.06665,-0.08667,0.97827
0.11121,-0.093384,1.0303
0.10303,0.029785,1.0059
-0.066162,0.1084,0.95935
-0.14966,0.025879,0.95544
-0.043091,-0.10486,0.99109
0.13245,-0.079346,1.0344
0.085327,0.050293,1.0005
-0.090942,0.10498,0.95764
-0.14771,0.006958,0.95068
-0.017944,-0.11877,0.99829
0.13538,-0.056885,1.0358
0.066162,0.060303,0.99304
-0.1123,0.10229,0.9502
-0.13721,-0.015747,0.95972
0.012207,-0.11951,1.0015
0.14221,-0.035034,1.04
0.0448,0.074463,0.98889
-0.12756,0.095215,0.94995
-0.12207,-0.032593,0.96179
0.039185,-0.11841,1.0159
0.13574,-0.014404,1.0303
0.015991,0.087646,0.97852
-0.1394,0.084351,0.95032
-0.10779,-0.052368,0.96191
0.071777,-0.11816,1.0195
0.12854,0.0023193,1.0258
-0.0093994,0.097534,0.97314
-0.14648,0.064453,0.94153
-0.085083,-0.072021,0.97534
0.09375,-0.1073,1.0216
0.11633,0.020264,1.0137
-0.041138,0.099243,0.96851
-0.15393,0.048584,0.94885
-0.063965,-0.091064,0.97595
0.11414,-0.091064,1.0319
0.10168,0.03186,1.007
-0.065796,0.10352,0.9613
-0.15063,0.021606,0.95605
-0.041382,-0.10071,0.99182
0.13232,-0.075439,1.0326
0.082642,0.048828,0.99927
-0.093872,0.10364,0.95752
-0.14587,0.0047607,0.95361
-0.011719,-0.1178,0.99915
0.13635,-0.052856,1.0358
0.063232,0.065552,0.99353
-0.11353,0.10303,0.94861
-0.13489,-0.01709,0.96497
0.01709,-0.12524,1.0039
0.14368,-0.030029,1.0304
0.040405,0.080566,0.98401
-0.13342,0.096191,0.94629
-0.12134,-0.038574,0.96179
0.041626,-0.12427,1.0145
0.13635,-0.012329,1.0314
0.012329,0.0896,0.97363
-0.14294,0.081177,0.94934
-0.10559,-0.054199,0.96606
0.074951,-0.11304,1.0203
0.13013,0.0024414,1.025
-0.013062,0.09436,0.97668
-0.14844,0.06189,0.9425
-0.083496,-0.066772,0.97595
0.095581,-0.10583,1.0281
0.11377,0.018799,1.0132
-0.04248,0.097778,0.96606
-0.15247,0.043823,0.94934
-0.060303,-0.092773,0.98157
0.11584,-0.087036,1.0316
0.098145,0.036621,1.0109
-0.072876,0.10583,0.95984
-0.14795,0.018921,0.95227
-0.036377,-0.10852,0.99011
0.13306,-0.071289,1.033
0.078979,0.056396,0.99927
-0.097778,0.10815,0.96008
-0.14355,-0.0030518,0.95398
-0.0068359,-0.1217,0.99841
0.14111,-0.049683,1.0352
0.058105,0.06897,0.99426
-0.1156,0.10107,0.9519
-0.1355,-0.018311,0.96069
0.022095,-0.12463,1.005
0.14185,-0.031982,1.0287
0.035767,0.078491,0.98303
-0.13586,0.093018,0.9469
-0.12048,-0.036011,0.96753
0.048096,-0.11951,1.0157
0.1377,-0.011841,1.0321
0.010132,0.084595,0.97681
-0.14185,0.080444,0.94873
-0.10034,-0.05835,0.97351
0.079224,-0.11011,1.0245
0.12781,0.0064697,1.0192
-0.021484,0.099121,0.97205
-0.14929,0.056274,0.94312
-0.081177,-0.074707,0.97559
0.10083,-0.10107,1.0341
0.10889,0.031006,1.0121
-0.049438,0.10278,0.96301
-0.15234,0.037964,0.94836
-0.054443,-0.098022,0.9823
0.12122,-0.08313,1.0322
0.095459,0.042114,1.01
-0.078003,0.10571,0.95801
-0.14966,0.015747,0.94958
-0.030762,-0.11035,0.98975
0.13171,-0.069092,1.0339
0.075806,0.054443,0.99927
-0.10315,0.10693,0.95825
-0.14172,-0.0047607,0.95691
-0.0021973,-0.12024,0.99548
0.14246,-0.051636,1.0339
0.053955,0.067017,0.9917
-0.11902,0.10278,0.95117
-0.13147,-0.023193,0.96118
0.025757,-0.12463,1.0092
0.13977,-0.02771,1.0298
0.030518,0.079712,0.98438
-0.13757,0.087769,0.95288
-0.11572,-0.041016,0.96863
0.055786,-0.11877,1.0134
0.13306,-0.0036621,1.025
0.005127,0.088257,0.97144
-0.14563,0.073364,0.9447
-0.095703,-0.06311,0.97058
0.082642,-0.10522,1.0238
0.12646,0.01355,1.0187
-0.027222,0.098999,0.96765
-0.15344,0.052612,0.94641
-0.077148,-0.076538,0.97729
0.1051,-0.1001,1.0354
0.10828,0.027466,1.0137
-0.051392,0.1051,0.96191
-0.14978,0.035889,0.94678
-0.05188,-0.10022,0.98682
0.12537,-0.084229,1.0315
0.094238,0.043701,1.0074
-0.081543,0.10803,0.95581
-0.15002,0.01416,0.94946
-0.025879,-0.11694,0.99377
0.13281,-0.065308,1.0376
0.072266,0.056396,0.99744
-0.104,0.10571,0.9502
-0.13879,-0.0089111,0.95581
0.00024414,-0.12134,0.99597
0.14197,-0.043579,1.0375
0.050049,0.069458,0.99304
-0.12256,0.09729,0.94971
-0.1272,-0.028076,0.95886
0.031494,-0.11963,1.0073
0.13635,-0.023682,1.0287
0.023926,0.08313,0.98425
-0.1377,0.087402,0.94751
-0.11243,-0.040771,0.96545
0.060913,-0.12,1.0114
0.13318,-0.00073242,1.0225
0.0,0.090698,0.9729
-0.14734,0.07605,0.94739
-0.092896,-0.064087,0.97839
0.083618,-0.10828,1.0234
0.12366,0.011108,1.0184
-0.030029,0.1001,0.96753
-0.151,0.052612,0.94958
-0.073853,-0.082153,0.97864
0.1084,-0.099365,1.0317
0.10974,0.028564,1.0099
-0.054321,0.10193,0.95752
-0.14832,0.032104,0.94714
-0.051147,-0.097412,0.98816
0.12622,-0.082153,1.0334
0.09082,0.044678,1.0013
-0.081421,0.10547,0.95422
-0.15063,0.011475,0.94629
-0.02478,-0.11157,0.99426
0.13245,-0.060181,1.0386
0.071045,0.057007,0.99902
-0.10474,0.10425,0.94751
-0.13806,-0.0070801,0.95618
0.0018311,-0.12305,0.99805
0.14172,-0.041138,1.0348
0.05127,0.071289,0.99353
-0.12244,0.10156,0.95081
-0.12732,-0.02832,0.9552
0.030273,-0.12256,1.0088
0.13904,-0.025879,1.0299
0.022827,0.086182,0.9834
-0.1333,0.087036,0.95166
-0.11267,-0.043579,0.96558
0.061768,-0.12122,1.0138
0.13232,-0.0028076,1.0291
-0.00012207,0.090698,0.98108
-0.14624,0.071899,0.94885
-0.092285,-0.063477,0.97473
0.08374,-0.1073,1.0222
0.12109,0.010864,1.0167
-0.029907,0.098145,0.96729
-0.15051,0.055786,0.94739
-0.072388,-0.079956,0.97742
0.10779,-0.094116,1.0303
0.10803,0.029297,1.0092
-0.056396,0.10254,0.96082
-0.15027,0.03479,0.95032
-0.051758,-0.096313,0.99109
0.12634,-0.084839,1.0353
0.09082,0.045166,1.0023
-0.083008,0.10791,0.95715
-0.15002,0.010498,0.95105
-0.025391,-0.11426,0.99426
0.13391,-0.064575,1.0382
0.072876,0.059082,0.99719
-0.10205,0.10315,0.94763
-0.13867,-0.0075684,0.95618
0.0015869,-0.12244,1.0007
0.14026,-0.041382,1.0345
0.051392,0.068726,0.98999
-0.12366,0.099854,0.95081
-0.12732,-0.029541,0.95276
0.026855,-0.1189,1.0105
0.1366,-0.024536,1.0344
0.023315,0.08252,0.979
-0.13403,0.086914,0.9502
-0.1123,-0.041992,0.96594
0.057617,-0.12061,1.0143
0.13367,-0.00354,1.0228
0.0010986,0.090332,0.97852
-0.14514,0.075806,0.9436
-0.094849,-0.060791,0.96692
0.082275,-0.11121,1.0201
0.11951,0.011841,1.015
-0.026611,0.098389,0.96704
-0.15027,0.054565,0.95142
-0.072876,-0.080322,0.97864
0.10583,-0.096313,1.0278
0.10962,0.026245,1.0139
-0.056396,0.10266,0.96313
-0.14941,0.032349,0.95386
-0.052612,-0.096802,0.98694
0.1228,-0.081177,1.0354
0.092285,0.041992,0.99902
-0.080933,0.10437,0.9574
-0.14722,0.012329,0.9519
-0.025024,-0.11023,0.99475
0.13586,-0.064331,1.0354
0.072266,0.058594,0.99866
-0.10095,0.10303,0.94849
-0.13977,-0.0048828,0.95508
0.00061035,-0.1239,1.0028
0.1394,-0.044556,1.0325
0.053223,0.068115,0.98792
-0.12366,0.10254,0.94897
-0.12927,-0.027588,0.9574
0.025879,-0.12256,1.0062
0.13989,-0.026855,1.0358
0.028442,0.084106,0.98145
-0.13281,0.088013,0.94324
-0.11182,-0.041504,0.9646
0.057007,-0.11902,1.014
0.13391,-0.0045166,1.0228
0.0010986,0.089478,0.9823
-0.14539,0.071777,0.94739
-0.097046,-0.060669,0.96924
0.082397,-0.10876,1.0265
0.11963,0.012451,1.0245
-0.024658,0.09375,0.96973
-0.14929,0.057007,0.95264
-0.072388,-0.076782,0.97925
0.10486,-0.099121,1.0249
0.10913,0.026611,1.0129
-0.053833,0.10437,0.96399
-0.15051,0.035645,0.95117
-0.052612,-0.095459,0.98486
0.12085,-0.083252,1.0337
0.092651,0.042358,1.0021
-0.079834,0.10938,0.95837
-0.14758,0.013062,0.95593
-0.026855,-0.11328,0.99365
0.1366,-0.067749,1.0359
0.072998,0.060181,0.99939
-0.10217,0.1051,0.95203
-0.14197,-0.0043945,0.953
-0.0010986,-0.12329,1.0039
0.13977,-0.044067,1.0354
0.052979,0.066406,0.98633
-0.1217,0.099365,0.94775
-0.13049,-0.024536,0.96313
0.02771,-0.11975,1.0077
0.13989,-0.026123,1.0337
0.030029,0.0802,0.98401
-0.13269,0.088013,0.94421
-0.11438,-0.040405,0.9646
0.049927,-0.12012,1.0205
0.13318,-0.0080566,1.0243
0.0019531,0.089111,0.98108
-0.14307,0.074341,0.95117
-0.099365,-0.060181,0.96716
0.081299,-0.1106,1.0217
0.12036,0.011597,1.0243
-0.022583,0.097534,0.96924
-0.14697,0.056763,0.94128
-0.075073,-0.080078,0.9801
0.10364,-0.099365,1.0249
0.10962,0.029175,1.0117
-0.05188,0.10266,0.96436
-0.15247,0.036133,0.94983
-0.053345,-0.096436,0.98108
0.11914,-0.084595,1.0348
0.094727,0.039551,1.0037
-0.076294,0.10742,0.95862
-0.14624,0.016846,0.9519
-0.031128,-0.10779,0.99072
0.13562,-0.072266,1.0302
0.075684,0.054565,0.99829
-0.10034,0.10303,0.95435
-0.1427,-0.0010986,0.95569
-0.0039062,-0.11975,1.0002
0.13782,-0.048828,1.0336
0.057251,0.065063,0.99084
-0.11609,0.10168,0.95007
-0.1311,-0.023193,0.96265
0.02417,-0.12048,1.0049
0.14026,-0.025024,1.0291
0.033813,0.079224,0.9834
-0.1355,0.087769,0.94495
-0.11389,-0.041504,0.96082
0.049927,-0.11987,1.0166
0.13416,-0.0054932,1.0267
0.0063477,0.090942,0.97107
-0.14209,0.073364,0.94763
-0.098755,-0.05835,0.96912
0.078369,-0.11084,1.0212
0.12622,0.008667,1.0234
-0.020508,0.096558,0.97131
-0.14758,0.059937,0.94141
-0.079102,-0.074341,0.97986
0.099854,-0.10266,1.0283
0.11121,0.020752,1.0127
-0.048584,0.10059,0.96667
-0.15198,0.042114,0.95007
-0.056763,-0.094971,0.98071
0.11804,-0.087402,1.0331
0.096436,0.037354,1.007
-0.074097,0.10693,0.95776
-0.14526,0.017212,0.95227
-0.031372,-0.10828,0.98975
0.13391,-0.069336,1.0325
0.076782,0.05542,0.99988
-0.098755,0.10291,0.95923
-0.14185,-0.0032959,0.95398
-0.0063477,-0.12048,0.9989
0.13708,-0.046143,1.0342
0.055664,0.067749,0.99255
-0.11658,0.10071,0.94739
-0.1322,-0.022095,0.96008
0.023315,-0.12134,1.0045
0.13965,-0.028687,1.0287
0.034058,0.079102,0.98328
-0.13538,0.093384,0.95142
-0.11646,-0.038696,0.96594
0.048218,-0.12085,1.0153
0.13684,-0.011475,1.0273
0.010376,0.088135,0.97583
-0.14258,0.081177,0.94775
