x,y,z
0.043823,0.050659,0.99646
-0.092285,0.089966,0.95764
-0.10925,-0.0010986,0.95947
0.011719,-0.10547,1.0024
0.10815,-0.038696,1.0339
0.024414,0.059326,0.98706
-0.10425,0.089355,0.95813
-0.099976,-0.021484,0.96143
0.032349,-0.10693,1.0114
0.10632,-0.024658,1.0283
0.0056152,0.074707,0.98181
-0.10974,0.072266,0.95422
-0.085938,-0.035767,0.9679
0.05542,-0.10522,1.0232
0.10364,-0.0024414,1.0253
-0.010742,0.079468,0.97791
-0.1178,0.065308,0.95251
-0.072266,-0.058105,0.974
0.072632,-0.095215,1.0234
0.094849,0.006958,1.0255
-0.032104,0.086914,0.97119
-0.11865,0.052368,0.953
-0.053955,-0.072632,0.979
0.088745,-0.0896,1.0311
0.085449,0.019531,1.014
-0.048584,0.092285,0.97021
-0.11902,0.03833,0.95288
-0.03772,-0.08606,0.98352
0.098633,-0.078735,1.0309
0.067139,0.033203,1.0043
-0.069214,0.09375,0.96729
-0.11853,0.02417,0.95435
-0.019165,-0.0979,0.99695
0.10327,-0.060913,1.0325
0.050781,0.048706,1.0012
-0.085327,0.088989,0.95776
-0.11145,0.0050049,0.95837
0.0020752,-0.10339,1.0022
0.10779,-0.041626,1.033
0.033447,0.05603,0.98914
-0.099121,0.088745,0.95837
-0.10425,-0.015991,0.95874
0.022461,-0.10388,1.0074
0.10925,-0.028809,1.0304
0.013672,0.069092,0.98621
-0.10791,0.078979,0.95435
-0.094604,-0.028564,0.96423
0.046265,-0.11084,1.0198
0.10461,-0.011963,1.0283
-0.0029297,0.07666,0.98279
-0.1156,0.074097,0.95288
-0.080688,-0.04834,0.96741
0.064331,-0.10229,1.0192
0.0979,-0.00061035,1.0245
-0.021851,0.085083,0.97266
-0.11633,0.060303,0.95337
-0.061157,-0.066528,0.97571
0.081787,-0.091431,1.0255
0.090088,0.015137,1.0145
-0.042603,0.087036,0.97046
-0.1189,0.042969,0.95312
-0.046387,-0.079468,0.98218
0.09436,-0.080566,1.0328
0.072998,0.027954,1.007
-0.061157,0.091064,0.96753
-0.11951,0.026855,0.95288
-0.026001,-0.091919,0.99023
0.10315,-0.069214,1.0322
0.060669,0.0448,1.0022
-0.078857,0.091675,0.95984
-0.11719,0.015991,0.95618
-0.0075684,-0.10498,0.99939
0.10608,-0.050903,1.0327
0.041992,0.051758,0.99634
-0.094238,0.093994,0.95984
-0.10999,-0.0062256,0.95679
0.012085,-0.10681,1.0042
0.10913,-0.038696,1.0355
0.02356,0.066284,0.9873
-0.10291,0.081543,0.95471
-0.10095,-0.022339,0.95972
0.033447,-0.10828,1.0127
0.10657,-0.0177,1.0277
0.0048828,0.071289,0.98608
-0.11084,0.073608,0.95398
-0.085327,-0.03894,0.96509
0.056763,-0.10193,1.0178
0.10034,-0.0041504,1.025
-0.011841,0.078491,0.97681
-0.11523,0.063721,0.95471
-0.068726,-0.057495,0.97375
0.075562,-0.094238,1.0237
0.093994,0.0072021,1.0199
-0.0354,0.087769,0.97327
-0.11951,0.052612,0.95532
-0.053833,-0.076538,0.98059
0.0896,-0.088623,1.031
0.081909,0.023682,1.0092
-0.051636,0.093018,0.97095
-0.11975,0.03418,0.95447
-0.034912,-0.087646,0.98865
0.1001,-0.077515,1.0341
0.067871,0.039062,1.0061
-0.07019,0.090088,0.95996
-0.12073,0.022827,0.95471
-0.018066,-0.098389,0.99561
0.10229,-0.05603,1.0325
0.049316,0.044189,0.99902
-0.087769,0.09375,0.95764
-0.11157,0.00048828,0.95557
0.0021973,-0.10083,1.0026
0.10718,-0.044922,1.0376
0.030396,0.05896,0.9917
-0.099976,0.085205,0.95911
-0.10547,-0.012573,0.95703
0.024902,-0.10828,1.0072
0.10583,-0.026733,1.0295
0.011353,0.070923,0.98804
-0.10828,0.081665,0.95325
-0.091309,-0.032959,0.96289
0.048462,-0.10828,1.0162
0.10498,-0.0095215,1.0254
-0.0047607,0.07959,0.98022
-0.11804,0.070068,0.95532
-0.078857,-0.052856,0.9718
0.064331,-0.099731,1.022
0.09729,0.0032959,1.0237
-0.026978,0.083252,0.9729
-0.11902,0.056885,0.95496
-0.061279,-0.067993,0.97742
0.084351,-0.090576,1.0294
0.0896,0.015015,1.0103
-0.042847,0.088745,0.97107
-0.11816,0.040894,0.94971
-0.043091,-0.079468,0.98535
0.096069,-0.080933,1.0341
0.073364,0.031738,1.0083
-0.061035,0.088135,0.96375
-0.12061,0.030762,0.95532
-0.02478,-0.096924,0.99304
0.1012,-0.066528,1.0339
0.057617,0.042847,1.0037
-0.080444,0.095947,0.96033
-0.11365,0.0074463,0.95349
-0.0053711,-0.10168,0.99744
0.10632,-0.050049,1.0365
0.037598,0.057373,0.99622
-0.095947,0.09021,0.96118
-0.1084,-0.0080566,0.95679
0.015503,-0.10742,1.0061
0.10938,-0.033325,1.0315
0.019531,0.065674,0.99023
-0.104,0.082153,0.95581
-0.096924,-0.023071,0.96326
0.039673,-0.10669,1.0129
0.10547,-0.02002,1.0251
0.0042725,0.07251,0.98389
-0.11377,0.074463,0.95728
-0.084595,-0.040527,0.96997
0.056519,-0.10474,1.0208
0.10168,-0.0054932,1.025
-0.016479,0.079834,0.97192
-0.11487,0.06543,0.95593
-0.066162,-0.060669,0.97668
0.078491,-0.09436,1.0278
0.09436,0.0084229,1.0161
-0.034546,0.089233,0.9707
-0.11792,0.045044,0.95056
-0.052246,-0.074829,0.97986
0.088867,-0.086548,1.0327
0.078613,0.028564,1.0114
-0.053345,0.089355,0.96924
-0.12158,0.033813,0.95398
-0.03125,-0.092651,0.98828
0.10022,-0.069946,1.0326
0.065674,0.036743,1.0087
-0.072144,0.092651,0.9624
-0.11548,0.017578,0.95312
-0.015503,-0.096802,0.995
0.10498,-0.061279,1.0341
0.046997,0.047974,0.99854
-0.089966,0.094238,0.96191
-0.11206,0.0015869,0.95471
0.0067139,-0.10388,1.0031
0.10852,-0.043701,1.0333
0.029053,0.060181,0.98987
-0.098755,0.087524,0.95776
-0.10376,-0.014771,0.96094
0.02771,-0.10925,1.0098
0.10571,-0.02417,1.0284
0.011475,0.071289,0.9856
-0.11145,0.076782,0.95264
-0.091064,-0.034302,0.96545
0.048096,-0.10449,1.0172
0.10425,-0.0079346,1.028
-0.0059814,0.076294,0.97424
-0.11328,0.067871,0.95483
-0.072144,-0.055542,0.96851
0.07019,-0.095459,1.024
0.098633,0.0021973,1.0234
-0.027832,0.085571,0.97437
-0.11951,0.053223,0.95276
-0.0625,-0.065552,0.97559
0.084595,-0.09668,1.0291
0.085205,0.019653,1.014
-0.045532,0.089233,0.97278
-0.12036,0.043457,0.953
-0.039795,-0.08667,0.98499
0.097168,-0.080078,1.0306
0.072388,0.029785,1.0078
-0.063843,0.095093,0.96472
-0.11938,0.027832,0.95471
-0.023926,-0.093994,0.99109
0.10132,-0.06543,1.0342
0.05603,0.044067,1.0016
-0.082397,0.092163,0.96277
-0.11255,0.0058594,0.95703
-0.003418,-0.1001,1.0017
0.10999,-0.045044,1.0327
0.036865,0.056763,0.9906
-0.095703,0.087891,0.96069
-0.10864,-0.0087891,0.95862
0.0177,-0.10815,1.0078
0.10657,-0.032959,1.0327
0.018066,0.06665,0.98853
-0.10718,0.083862,0.95386
-0.096558,-0.024292,0.96655
0.040771,-0.10962,1.016
0.10754,-0.016846,1.0299
0.0028076,0.074707,0.98193
-0.11304,0.077271,0.95569
-0.081299,-0.04541,0.9657
0.05957,-0.10254,1.0214
0.1001,-0.005127,1.0248
-0.019653,0.084839,0.97571
-0.11633,0.05957,0.95471
-0.068115,-0.062012,0.97278
0.07959,-0.095215,1.0267
0.091553,0.015625,1.0173
-0.037476,0.084351,0.97498
-0.11902,0.047119,0.95251
-0.047729,-0.078003,0.98413
0.092651,-0.083252,1.0304
0.077515,0.025635,1.0107
-0.056763,0.091675,0.96545
-0.12122,0.032715,0.95483
-0.030884,-0.089478,0.98596
0.10059,-0.071533,1.0327
0.064209,0.037476,1.0032
-0.075562,0.093506,0.96094
-0.11548,0.016968,0.95581
-0.013916,-0.10193,0.99951
0.10706,-0.057739,1.0332
0.044312,0.052856,0.99634
-0.091309,0.093262,0.96082
-0.11438,-0.0010986,0.9552
0.0064697,-0.10754,1.0039
0.10608,-0.039917,1.0316
0.0271,0.063354,0.98938
-0.10144,0.084595,0.95312
-0.10181,-0.016846,0.9613
0.02832,-0.10913,1.0084
0.1062,-0.021606,1.031
0.010864,0.068237,0.98706
-0.11133,0.078003,0.95593
-0.088379,-0.037109,0.96265
0.049072,-0.10144,1.0173
0.10254,-0.010742,1.0259
-0.010498,0.079712,0.97705
-0.11316,0.066895,0.9574
-0.072388,-0.053223,0.9707
0.071655,-0.10144,1.0243
0.097046,0.0059814,1.0212
-0.028931,0.085205,0.97363
-0.11914,0.05603,0.953
-0.056396,-0.071533,0.97998
0.086792,-0.091675,1.0275
0.083008,0.021606,1.0128
-0.049194,0.091187,0.9707
-0.12207,0.039673,0.95361
-0.039307,-0.08728,0.9873
0.096313,-0.077881,1.0347
0.072388,0.034546,1.0067
-0.066284,0.092529,0.96191
-0.11768,0.021606,0.95728
-0.022339,-0.09668,0.99451
0.1051,-0.061768,1.0354
0.052612,0.044067,0.99866
-0.084473,0.091919,0.96265
-0.11304,0.0056152,0.95264
-0.0021973,-0.10144,1.0028
0.1073,-0.048706,1.035
0.034546,0.057251,0.99316
-0.094238,0.086792,0.95776
-0.10547,-0.0070801,0.96033
0.022095,-0.10938,1.005
0.10608,-0.02832,1.0333
0.016724,0.06665,0.98901
-0.10828,0.086182,0.95715
-0.093994,-0.031738,0.96411
0.040527,-0.10596,1.0128
0.10596,-0.015625,1.0282
-0.00085449,0.0802,0.98315
-0.11353,0.070923,0.95728
-0.078979,-0.046997,0.96643
0.063354,-0.10339,1.0228
0.099854,0.0010986,1.0232
-0.020996,0.082642,0.97461
-0.11829,0.059326,0.95422
-0.067017,-0.063965,0.97778
0.081055,-0.093994,1.0278
0.0896,0.013306,1.016
-0.038574,0.085449,0.97009
-0.11975,0.047119,0.95154
-0.045898,-0.078735,0.98499
0.092163,-0.084473,1.0348
0.078613,0.026978,1.0103
-0.058594,0.091675,0.96423
-0.12024,0.029907,0.95508
-0.031372,-0.092651,0.98975
0.10168,-0.068359,1.0355
0.05896,0.040771,1.0037
-0.07666,0.096802,0.96289
-0.11475,0.012573,0.95215
-0.0098877,-0.10278,0.99695
0.10779,-0.053589,1.0332
0.043457,0.056152,0.99866
-0.091064,0.088745,0.96155
-0.11035,-0.0029297,0.95874
0.011963,-0.1095,1.0042
0.10669,-0.035767,1.0355
0.024902,0.060669,0.99219
-0.10425,0.086914,0.95862
-0.099731,-0.02124,0.96423
0.032593,-0.1051,1.0085
0.10767,-0.024902,1.0281
0.0074463,0.071777,0.98364
-0.11011,0.077026,0.9574
-0.085938,-0.034424,0.96582
0.053223,-0.10535,1.0216
0.10242,-0.008667,1.0249
-0.012817,0.080688,0.97546
-0.11572,0.066528,0.95544
-0.07312,-0.057495,0.97534
0.074097,-0.09729,1.0258
0.093872,0.010376,1.0201
-0.030518,0.08606,0.97314
-0.11865,0.052734,0.95032
-0.052612,-0.07605,0.98035
0.08728,-0.088501,1.0297
0.084229,0.024536,1.0149
-0.050537,0.089111,0.96948
-0.12085,0.036621,0.95483
-0.037598,-0.087646,0.98401
0.097534,-0.074463,1.0338
0.069336,0.033813,1.0079
-0.068604,0.09436,0.96655
-0.11694,0.02063,0.95288
-0.019897,-0.094849,0.99341
0.1062,-0.064331,1.0314
0.049072,0.044678,0.99866
-0.084717,0.090576,0.96094
-0.11572,0.0092773,0.9541
0.001709,-0.10645,1.0007
0.10681,-0.04541,1.0333
0.033691,0.057495,0.99133
-0.096313,0.089233,0.95947
-0.10461,-0.012573,0.96143
0.021729,-0.10632,1.0066
0.10828,-0.030396,1.0309
0.016968,0.06958,0.98462
-0.10901,0.081543,0.95398
-0.094238,-0.031128,0.96375
0.039917,-0.10486,1.0192
0.10437,-0.012939,1.0284
-0.00354,0.075439,0.97888
-0.11157,0.069702,0.95471
-0.078979,-0.045898,0.96826
0.066528,-0.10034,1.0217
0.10095,0.00085449,1.0236
-0.018799,0.08313,0.97668
-0.11768,0.059448,0.95068
-0.064087,-0.062866,0.97363
0.079956,-0.095581,1.0256
0.090088,0.012451,1.0176
-0.041138,0.087891,0.97107
-0.11951,0.049805,0.9541
-0.045288,-0.081299,0.97974
0.092773,-0.083374,1.0314
0.078003,0.025879,1.0087
-0.057617,0.094482,0.96875
-0.11584,0.026855,0.95447
-0.028931,-0.09082,0.99023
0.10303,-0.071777,1.0328
0.05835,0.041992,1.0035
-0.076172,0.092041,0.96411
-0.11621,0.014404,0.95605
-0.0097656,-0.10242,1.0009
0.10535,-0.048462,1.0328
0.042969,0.051147,0.99548
-0.090698,0.089478,0.95874
-0.10876,-0.0032959,0.95923
0.012329,-0.104,1.0046
0.1073,-0.039307,1.035
0.024902,0.063354,0.99048
-0.1051,0.087036,0.95605
-0.10144,-0.019409,0.9624
0.029053,-0.1073,1.0135
0.10864,-0.023926,1.0314
0.0061035,0.074951,0.98486
-0.10901,0.078857,0.95471
-0.086182,-0.039551,0.96375
0.054077,-0.10645,1.0199
0.10254,-0.0063477,1.0261
-0.0097656,0.080078,0.97803
-0.1167,0.065674,0.9541
-0.073853,-0.056396,0.97266
0.073242,-0.098755,1.0227
0.095459,0.0092773,1.0222
-0.030273,0.083252,0.97473
-0.11914,0.051025,0.95557
-0.053223,-0.071167,0.98035
0.087036,-0.088013,1.0309
0.085938,0.01709,1.0129
-0.049316,0.093262,0.96851
-0.1189,0.037231,0.95361
-0.040039,-0.085083,0.98425
0.098877,-0.077637,1.032
0.068481,0.034912,1.0057
-0.069092,0.09082,0.96289
-0.11975,0.025757,0.95483
-0.019165,-0.098145,0.9978
0.10474,-0.062134,1.0327
0.052856,0.046631,0.99976
-0.084106,0.095459,0.96021
-0.11523,0.0040283,0.95605
0.00024414,-0.1062,1.001
0.10474,-0.045776,1.0359
0.035767,0.060059,0.99329
-0.098633,0.08606,0.9574
-0.104,-0.011963,0.95947
0.019409,-0.10571,1.0078
0.1084,-0.028809,1.0325
0.015869,0.06897,0.98853
-0.10461,0.080688,0.95801
-0.093262,-0.028442,0.96191
0.042358,-0.10352,1.0168
0.10291,-0.014404,1.0273
-0.0053711,0.074219,0.9823
-0.11353,0.071411,0.95569
-0.080444,-0.045776,0.9679
0.063477,-0.10278,1.0188
0.098389,0.0015869,1.0254
-0.019531,0.081665,0.97473
-0.11853,0.062012,0.95618
-0.062134,-0.067993,0.97668
0.081543,-0.096558,1.0264
0.091309,0.013672,1.0167
-0.042236,0.091797,0.97278
-0.11975,0.041626,0.95325
-0.047241,-0.078857,0.98328
0.093018,-0.084229,1.0342
0.07605,0.027344,1.0094
-0.058594,0.090332,0.96655
-0.11975,0.03064,0.95386
-0.030029,-0.094482,0.99341
0.10229,-0.067749,1.0353
0.060425,0.039673,1.0034
-0.076294,0.089844,0.96216
-0.11633,0.014648,0.95508
-0.0093994,-0.098877,0.99866
0.10522,-0.054565,1.0369
0.043579,0.05127,0.99585
-0.091431,0.091675,0.96106
-0.10925,-0.0036621,0.95776
0.011353,-0.10706,1.0028
0.10718,-0.037109,1.0343
0.02356,0.064087,0.99231
-0.10388,0.087891,0.9574
-0.099609,-0.020142,0.95923
0.031616,-0.10962,1.0122
0.1051,-0.021851,1.0269
0.0045166,0.077393,0.98755
-0.11218,0.075073,0.95642
-0.088135,-0.038574,0.96582
0.055664,-0.10449,1.0172
0.10303,-0.0037842,1.0265
-0.0091553,0.077881,0.97778
-0.11646,0.067383,0.95618
-0.070557,-0.056641,0.97266
0.071045,-0.097046,1.0232
0.095459,0.005127,1.0193
-0.030884,0.085083,0.9707
-0.11951,0.051147,0.95239
-0.057007,-0.067871,0.9801
0.087402,-0.091919,1.0327
0.083008,0.020996,1.011
-0.049805,0.090576,0.96741
-0.11877,0.039429,0.95032
-0.03772,-0.088257,0.98816
0.098999,-0.074341,1.0331
0.066895,0.036743,1.0059
-0.068359,0.094238,0.96387
-0.11987,0.021484,0.95154
-0.017944,-0.10107,0.99097
0.10474,-0.058838,1.0347
0.052368,0.050415,1.0004
-0.086182,0.093262,0.96289
-0.11414,0.0026855,0.95703
0.0018311,-0.10522,0.9989
0.10754,-0.046509,1.0366
0.031982,0.058716,0.99316
-0.099976,0.087036,0.96033
-0.10571,-0.013184,0.96008
0.021362,-0.10559,1.006
0.10803,-0.030273,1.0275
0.015259,0.066895,0.98877
-0.10608,0.081543,0.95483
-0.092896,-0.025513,0.96436
0.045898,-0.10645,1.0154
0.10339,-0.012695,1.0276
-0.0020752,0.075562,0.97607
-0.11487,0.074097,0.95532
-0.079102,-0.048584,0.96985
0.063354,-0.10107,1.0227
0.0979,0.00073242,1.0236
-0.022217,0.084473,0.97314
-0.11694,0.055664,0.95093
-0.06311,-0.064941,0.97607
0.079834,-0.095581,1.0299
0.091919,0.019775,1.0173
-0.040039,0.090942,0.97046
-0.11865,0.042725,0.95264
-0.045532,-0.080933,0.98267
0.095703,-0.081909,1.031
0.074219,0.026733,1.0116
-0.060425,0.093262,0.96631
-0.11963,0.029541,0.95337
-0.027466,-0.092773,0.98975
0.10168,-0.069336,1.0309
0.061279,0.041016,1.0034
-0.078003,0.093262,0.96277
-0.11646,0.014038,0.95447
-0.0083008,-0.10242,0.99731
0.1062,-0.055054,1.0347
0.042114,0.053467,0.99255
-0.092529,0.092896,0.96228
-0.11035,-0.0050049,0.95874
0.011475,-0.10571,1.0043
0.10669,-0.035522,1.0305
0.022461,0.06604,0.9917
-0.10217,0.08313,0.95386
-0.098389,-0.022827,0.96277
0.035522,-0.10718,1.015
0.10803,-0.016357,1.0309
0.0054932,0.07251,0.98071
-0.11377,0.075684,0.95581
-0.086914,-0.042847,0.96448
0.055298,-0.104,1.0193
0.10144,-0.0045166,1.027
-0.011841,0.081909,0.97668
-0.11609,0.064331,0.95215
-0.071167,-0.056396,0.97205
0.073242,-0.099976,1.0258
0.094482,0.0083008,1.019
-0.031982,0.088623,0.97485
-0.11768,0.052246,0.95398
-0.054077,-0.074341,0.97815
0.089111,-0.088379,1.0284
0.080933,0.021362,1.0121
-0.049316,0.092163,0.96875
-0.12,0.038086,0.95544
-0.034424,-0.089722,0.98804
0.098511,-0.072021,1.0332
0.066895,0.03833,1.0057
-0.068481,0.089355,0.96387
-0.11816,0.0177,0.95605
-0.016602,-0.099976,0.99756
0.10596,-0.058105,1.0343
0.051025,0.04895,0.99719
-0.086304,0.09082,0.96436
-0.1123,0.0015869,0.95691
0.00354,-0.10352,1.0013
0.10767,-0.045654,1.0352
0.032471,0.061768,0.99304
-0.099854,0.087524,0.95483
-0.10474,-0.014038,0.95898
0.024414,-0.11133,1.0101
0.1084,-0.027466,1.0306
0.01355,0.068726,0.9884
-0.10876,0.085449,0.95508
-0.092651,-0.031982,0.9646
0.046997,-0.10669,1.0159
0.104,-0.013916,1.0288
-0.0029297,0.077759,0.97766
-0.11218,0.069824,0.95691
-0.076416,-0.049561,0.96619
0.067505,-0.099976,1.0233
0.098877,0.0047607,1.0223
-0.024658,0.083252,0.97375
-0.11646,0.054199,0.95361
-0.061401,-0.063965,0.97766
0.082642,-0.089355,1.0259
0.086914,0.019165,1.0148
-0.042236,0.086548,0.96826
-0.11816,0.04187,0.95215
-0.042847,-0.083374,0.98132
0.096069,-0.081177,1.0304
0.075317,0.029663,1.0072
-0.060547,0.093262,0.96277
-0.12061,0.027222,0.95496
-0.027222,-0.096313,0.99121
0.10291,-0.066162,1.0326
0.059204,0.042236,1.0005
-0.078491,0.095093,0.96216
-0.11731,0.010742,0.95105
-0.0075684,-0.10315,0.99756
0.10596,-0.053589,1.0323
0.039429,0.057007,0.99402
-0.091675,0.086914,0.95593
-0.11035,-0.0056152,0.95837
0.013184,-0.10291,1.0052
0.10706,-0.030396,1.0323
0.021851,0.061157,0.9917
-0.10461,0.085205,0.95593
-0.099976,-0.023193,0.95972
0.036621,-0.10547,1.0109
0.10498,-0.017334,1.031
0.00354,0.073608,0.98181
-0.11194,0.075195,0.9574
-0.083618,-0.040649,0.96313
0.05896,-0.10498,1.0189
0.10254,-0.0046387,1.0229
-0.016113,0.082275,0.97583
-0.11853,0.063965,0.95422
-0.07019,-0.059082,0.97388
0.077026,-0.098389,1.0229
0.093994,0.0097656,1.0188
-0.035278,0.087769,0.97375
-0.12012,0.050781,0.95227
-0.052246,-0.076416,0.98096
0.091431,-0.085205,1.0311
0.082642,0.023193,1.0128
-0.054321,0.090088,0.96436
-0.12244,0.035645,0.95471
-0.0354,-0.088989,0.98755
0.10034,-0.071899,1.0339
0.066284,0.03479,1.0031
-0.07251,0.092041,0.96326
-0.11719,0.017456,0.95251
-0.016968,-0.094482,0.9978
0.10535,-0.057617,1.036
0.046753,0.049194,0.99707
-0.089478,0.0896,0.95984
-0.1134,0.003418,0.95435
0.0037842,-0.1073,1.0017
0.10681,-0.041016,1.0333
0.028564,0.060913,0.99512
-0.10083,0.089722,0.95496
-0.10388,-0.0177,0.95972
0.029175,-0.10681,1.0072
0.10718,-0.025146,1.0294
0.011108,0.071045,0.98682
-0.11218,0.081055,0.9585
-0.09314,-0.034546,0.96155
0.047974,-0.10498,1.0194
0.10327,-0.0096436,1.026
-0.0084229,0.07666,0.979
-0.11731,0.067505,0.95813
-0.077148,-0.047852,0.97241
0.068481,-0.10083,1.021
0.097412,0.0019531,1.021
-0.025146,0.084351,0.97119
-0.11914,0.05603,0.94958
-0.060425,-0.066895,0.98132
0.084106,-0.090088,1.0293
0.085693,0.016235,1.0161
-0.045288,0.088501,0.96716
-0.12012,0.043945,0.95337
-0.041504,-0.086182,0.98376
0.095825,-0.078247,1.0344
0.071411,0.030762,1.0078
-0.065063,0.094482,0.9635
-0.11902,0.023438,0.95154
-0.023315,-0.095093,0.99109
0.10376,-0.067627,1.0333
0.05603,0.047119,1.001
-0.082764,0.09082,0.9635
-0.11658,0.0096436,0.95386
-0.0047607,-0.10437,0.99902
0.10645,-0.048706,1.0325
0.036987,0.053955,0.99622
-0.095825,0.090088,0.95923
-0.10803,-0.0065918,0.96106
0.017944,-0.1062,1.0026
0.10815,-0.034058,1.031
0.019165,0.062744,0.98779
-0.10693,0.083618,0.95825
-0.097534,-0.024902,0.96143
0.037964,-0.10486,1.0161
0.10522,-0.019775,1.0289
0.00073242,0.074707,0.97925
-0.11377,0.073608,0.95581
-0.081421,-0.043091,0.96729
0.061401,-0.10474,1.0219
0.10107,0.00061035,1.0264
-0.016602,0.083008,0.97559
-0.11877,0.060791,0.94983
-0.069092,-0.061279,0.97864
0.076538,-0.095581,1.0242
0.089966,0.013306,1.021
-0.036865,0.086182,0.97168
-0.12036,0.047974,0.95496
-0.048462,-0.078979,0.98071
0.092285,-0.081055,1.0319
0.079834,0.022705,1.0122
-0.056763,0.092041,0.96826
-0.12036,0.033447,0.95483
-0.033569,-0.088745,0.98755
0.1001,-0.075317,1.0325
0.062256,0.039551,1.0031
-0.074707,0.093262,0.96594
-0.11853,0.02002,0.95227
-0.013184,-0.099609,0.99683
0.10498,-0.058716,1.0323
0.046143,0.050781,0.99609
-0.089233,0.091553,0.9613
-0.11121,-0.00036621,0.96008
0.0076904,-0.10547,1.0022
0.10815,-0.03894,1.0331
0.027466,0.058594,0.98987
-0.10339,0.086548,0.95618
-0.10229,-0.019165,0.96143
0.027588,-0.1062,1.0146
0.10767,-0.021729,1.0314
0.010132,0.071289,0.98364
-0.11108,0.076782,0.95728
-0.088623,-0.033203,0.96167
0.052002,-0.10425,1.0199
0.10327,-0.0093994,1.0272
-0.0089111,0.078003,0.98035
-0.11646,0.068237,0.95093
-0.075562,-0.051758,0.97241
0.069214,-0.10266,1.0209
0.096191,0.0041504,1.0232
-0.027466,0.085693,0.97559
-0.11853,0.057861,0.95337
-0.056274,-0.07251,0.97778
